Number,FileName,Valence,Arousal,SocialEngagement,Time,Behavior,Gender,Age,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,zcr,rms,spectral_centroid
16,Aster_callingfizzy_1650,3.5,3,3.7,1650,call,M,1.5,-407.1656799,-62.11270523,16.32970428,90.22101593,-5.199345112,13.51411247,18.6071167,8.325601578,-0.951808512,7.40081501,-0.135359555,-5.835494041,10.24892998,145.0666809,69.90312958,38.39442062,31.68494606,12.1925211,8.273820877,12.74204445,9.110554695,9.801660538,7.588074684,10.64313889,7.795516014,8.271458626,0.460581094,0.35098213,0.270446539,0.257300854,0.291456878,0.315674663,0.436477333,0.623253345,0.625395775,0.401580125,0.462807477,0.504942298,0.316927083,0.04850813,4476.402039
17,Aster_callinghuman_0900,0.4,2.9,-0.45,900,callinghuman,M,1.5,-361.926239,30.40095901,13.42595959,51.81077576,-20.59786987,14.41664124,8.236860275,12.02224064,5.648562908,-12.09975243,8.18580246,3.780510664,-7.126818657,107.870842,99.70748901,20.00025177,33.57805252,14.67307854,12.19244385,13.86404896,16.17139053,8.481152534,11.2264719,10.74421883,8.665869713,11.99328804,0.37973842,0.463936746,0.642704189,0.611214936,0.479118347,0.351961672,0.433052033,0.407750994,0.35446769,0.410300851,0.385289788,0.48047775,0.234302277,0.041248076,3243.487774
18,Aster_callinghuman_1642,0.4,2.9,-0.45,1642,callhuman,M,1.5,-442.6164551,-9.359490395,10.96844673,50.08808136,-0.673852324,3.729078054,7.185907841,15.40959358,15.96006107,6.279595375,14.09032726,11.41769409,-2.426194429,149.5003204,96.94814301,18.86141968,45.29922867,17.96197891,13.35414886,12.71171665,10.86859226,9.659211159,16.68983841,14.58525372,5.873290062,12.08953667,0.317962229,0.665773392,0.420745999,0.458753496,0.418966293,0.368713707,0.485812843,0.582774997,0.369924963,0.235337481,0.254204154,0.284237713,0.223885672,0.040692799,3300.923479
19,Aster_callingmate_1650,3.5,3,3.7,1650,call,M,1.5,-414.2117615,-43.27344513,6.267666817,76.38092804,-11.78976917,10.70096684,11.87349415,9.253540993,10.02731514,9.689510345,-5.004484177,4.328115463,2.76671505,152.1573486,67.23040771,29.52136421,31.97426033,14.6999979,12.27548313,18.34553719,14.6031189,19.77299118,13.16792583,12.12739944,17.71750641,12.86161613,0.445039153,0.204986066,0.217345268,0.208926275,0.124259993,0.089615159,0.187765151,0.396050513,0.230471149,0.376090974,0.44012627,0.502469718,0.362032377,0.049944833,4486.422439
20,Aster_callingreadytoexplore_1355,3.75,4,3.65,1355,call,M,1.5,-375.5844421,-40.32902527,0.692455411,82.7670517,1.002294421,9.649065971,14.4594574,10.94799042,13.5188446,12.59190464,-5.37202692,10.87002373,6.76990366,178.0805817,70.65509796,23.21001244,37.71780396,18.90979576,14.69127941,16.94800377,13.7078371,12.6528759,13.40520859,10.61051846,10.45440292,9.885899544,0.39511168,0.362816334,0.317382544,0.337449998,0.344100952,0.248873398,0.240197361,0.250973552,0.439880997,0.622172296,0.710021079,0.665883362,0.256868929,0.060605906,4001.468597
21,Aster_callingresponding_1339,2.15,2.9,2,1339,callresponse,M,1.5,-342.6734009,-90.41131592,-10.64923382,95.58005524,4.04061079,7.682247162,3.910656214,11.89599609,9.908864975,-0.023399446,-6.451312065,12.0645752,-2.782751322,151.9411774,95.13220978,28.0137043,36.40264511,13.87694073,11.92962265,17.76792908,12.87847614,16.94997787,12.44206715,11.92695045,10.74561596,6.869770527,0.709716022,0.381017387,0.370614231,0.285010576,0.189544037,0.323139191,0.280043066,0.244833574,0.244382769,0.387476295,0.458826572,0.597781956,0.310992697,0.089178912,4087.43449
22,Aster_callmate_1248,3.5,3,3.7,1248,call,M,1.5,-242.1364288,-32.91371155,2.250982761,49.19682312,-10.85361099,9.652486801,2.100415468,-3.933575392,9.038092613,-4.730741978,-2.288973331,15.38947392,-0.495160282,67.6001358,83.11213684,22.54267693,28.92195702,17.28808022,20.30000877,9.296287537,13.67826843,10.14537716,10.10494423,5.373997688,10.95036697,7.864794731,0.44687131,0.781254768,0.619416475,0.436474055,0.295504034,0.251679391,0.279600352,0.292945236,0.297831982,0.384882927,0.315422088,0.339151144,0.332885742,0.076732583,4438.9331
23,Aster_cometotoy_1312,1.35,2.1,0.9,1312,play,M,1.5,-364.3268127,53.09100342,-12.97027206,31.20514107,27.4596138,29.82496452,19.77197838,10.17824745,10.60097504,7.343996525,-0.958326519,2.416573286,7.401944637,117.707901,50.76615524,50.7833252,21.83726501,13.27663231,11.10141468,13.05135345,12.92035675,8.547430038,15.11581707,10.59704018,10.63524342,10.30181599,0.632955909,0.540194929,0.461916119,0.494130582,0.565852165,0.59621942,0.612426877,0.490003377,0.481825233,0.551547825,0.570201695,0.531783938,0.135346284,0.034692235,2687.266436
24,Aster_curiousexploring_1317,2.65,3.9,2.3,1317,explore,M,1.5,-325.8834229,8.600925446,1.949012041,54.14817047,-4.298913002,12.22626495,-6.142792225,3.719992876,10.34365559,-6.985610962,3.191963911,6.914158344,-2.34581089,99.10991669,86.17973328,23.47072983,26.13965988,12.30776215,10.0202713,21.22097778,10.84033394,9.612494469,17.03700829,15.81395912,11.88007545,7.678617001,0.42143935,0.417304456,0.401821852,0.563097954,0.364513904,0.312831968,0.36304912,0.248752415,0.166308448,0.155325398,0.192690656,0.350824445,0.288056641,0.039740071,3917.299282
25,Aster_curiousobservingneighbor_1200,2.5,2,2.7,1200,observingneighbor,M,1.5,-336.2107544,-9.038686752,2.782480717,59.18471146,-24.75801468,8.437997818,15.23901176,2.859295845,-0.417601973,6.512125969,-5.078772545,7.268341064,-1.271763206,164.645874,66.22847748,10.78152847,33.98973083,13.62470913,13.05101681,11.16036129,10.24647903,3.478412867,5.653886795,5.769235134,4.807404995,4.715428352,0.546657443,0.844643891,0.762545407,0.410168707,0.241214916,0.221187159,0.361247003,0.609772503,0.380997837,0.425648123,0.452355206,0.510755837,0.266381836,0.060668178,4260.513645
26,Aster_drivenaway_1343,-0.8,4,-1.2,1343,drivenaway,M,1.5,-329.5991821,61.846035,14.92414474,44.13991928,-9.62958622,17.5510025,5.516979694,0.437725633,20.25842667,1.108770609,16.03892136,10.5825386,8.713395119,110.5870667,75.41139984,27.74061203,19.75029182,25.91316795,16.48650169,7.740363598,6.988837242,14.31657791,11.97915268,12.80984116,9.241757393,9.684510231,0.624797344,0.573067486,0.665005445,0.710689008,0.51993984,0.35604316,0.389869303,0.418657809,0.396736503,0.411185175,0.484606862,0.58807832,0.176347212,0.046416603,2819.162205
27,Aster_excitedwanttogetout_1900,2.9,4.9,2.25,1900,wanttogetout,M,1.5,-275.2729187,-9.814277649,-6.051220894,76.4868927,-7.213853359,8.4599123,3.396846533,9.77959156,3.11098218,5.259345531,-1.501357198,-0.805823207,5.845959663,103.9428787,76.57209778,15.95573235,25.42455101,17.32074738,15.59469986,8.817685127,9.117811203,11.116642,10.40794754,10.17844486,13.87462044,10.64705944,0.486907631,0.391429245,0.391154498,0.338831633,0.303421974,0.283533275,0.42899102,0.492147028,0.590399206,0.568772495,0.51306802,0.595449388,0.270874023,0.068503134,3782.49338
28,Aster_feedfizzy_1516,3.95,2.2,4.35,1516,feedmate,M,1.5,-300.2618408,52.07016373,-3.221372366,29.43065643,6.194526196,14.43611145,4.218317509,9.728661537,2.97602582,7.204680443,-8.37980938,-4.930528164,5.254629135,142.7228088,38.04039383,16.3815155,20.23828697,12.0936861,8.928303719,6.833809853,6.555689812,13.96571636,14.56731319,11.04802799,10.67522812,12.6499548,0.538077295,0.492715478,0.489092708,0.494376779,0.488577992,0.497250348,0.49364233,0.512597382,0.498790383,0.599513292,0.677129507,0.550922334,0.168280707,0.033508591,3251.148011
29,Aster_feedfizzy_1658,3.95,2.2,4.35,1658,feedmate,M,1.5,-460.8154297,82.794487,5.341909409,34.55991364,2.390086889,18.63869286,15.35028744,0.0494687,15.56365299,13.9313755,-12.2692318,-0.635699809,3.735158682,109.8774033,81.68906403,28.42456818,17.74282455,15.69598103,14.71699142,15.61345768,9.47614193,10.33612442,18.07122612,17.18579102,4.517939091,8.464630127,0.472318918,0.377212524,0.376400977,0.393538088,0.478182346,0.569781542,0.532675743,0.484546274,0.535836875,0.573923826,0.664970577,0.651470661,0.128884055,0.011560886,2554.296998
30,Aster_feedfoodtofizzy_1631,3.95,2.2,4.35,1631,feedmate,M,1.5,-470.6720581,31.98444939,16.14262199,55.30187988,6.850815773,10.81527328,12.70403004,8.83823967,9.785799026,6.452186108,-4.973450661,10.89688683,9.25620079,126.5623016,101.0190811,19.22091484,48.21182632,15.53272438,16.3793869,11.16110897,12.01154613,6.905215263,8.778982162,17.39746857,10.53957653,9.775607109,0.491809666,0.404083312,0.371611923,0.469631672,0.516716897,0.441940129,0.479600251,0.562617838,0.429108441,0.497329712,0.639354825,0.536708415,0.147780198,0.029150764,2471.282725
31,Aster_feedingfizzy_1516,3.95,2.2,4.35,1516,feedmate,M,1.5,-342.8816528,76.06873322,-8.022503853,31.1790123,2.662145853,5.490126133,-11.96171665,3.576123476,4.667616367,7.233031273,-8.204153061,-1.480974674,1.438688159,106.8366928,68.65330505,21.53997421,19.36163712,15.29997158,14.24818993,12.50154209,14.21003342,8.351736069,12.36776161,14.24230671,9.311237335,9.589446068,0.492413968,0.564568043,0.593545616,0.595649302,0.524117172,0.415876687,0.401958048,0.378583044,0.444220871,0.482449919,0.49332279,0.47791478,0.160730699,0.022780657,2679.588456
32,Aster_fighting_1303,-1,5,-1.5,1303,fighting,M,1.5,-302.6785278,22.1673851,17.77343369,39.27660751,-2.660028934,2.951718569,8.144217491,10.13884354,4.055678368,3.665356636,-3.688717842,6.271536827,5.895749569,76.70107269,69.42916107,20.89335823,31.67455101,12.68569374,9.381507874,6.954808712,10.74306965,6.3084445,10.32034397,10.62183762,7.837615013,7.538433075,0.544715405,0.54263103,0.550916195,0.524472237,0.513816237,0.520552218,0.603471279,0.59389323,0.568263471,0.651624203,0.585768104,0.518687725,0.234030878,0.035486162,3829.374986
33,Aster_flyhigherlandingherself_1353,2.65,3.9,2.3,1353,fly,M,1.5,-454.0495911,23.91490364,5.787541866,45.84354782,-0.537357509,18.0380249,10.25833797,1.300120234,18.07718086,14.40906906,-7.236721516,6.437615871,6.676470757,177.9652557,83.65975189,15.06645775,29.0000267,19.84601402,12.567729,8.311558723,9.264011383,12.27942944,11.33483124,9.493578911,9.160669327,5.541008949,0.618387997,0.51470685,0.426138192,0.370979905,0.338110447,0.382389814,0.381345302,0.372742921,0.358597219,0.353753746,0.690607488,0.812617242,0.288962624,0.030924987,3630.436246
34,Aster_flytohighbranch_1518,1.9,2.9,1.65,1518,fly,M,1.5,-450.9202576,10.31273746,2.741210222,36.72732162,4.160499096,27.42921448,-8.92421627,19.27673149,3.11342597,15.79094028,4.749044418,-10.08661842,2.893106699,74.81130219,58.85087204,46.44392014,23.95170593,21.02051544,32.43198395,25.19269562,17.58481216,14.20974445,17.27892876,10.08937645,17.25415611,15.7250433,0.331516236,0.313047528,0.244933486,0.207097039,0.205757618,0.277631074,0.456385255,0.654030502,0.715364218,0.631250441,0.420822144,0.269946009,0.302174886,0.016587967,4050.391576
35,Aster_followingmate_1330,3.5,3,3.7,1330,follow,M,1.5,-370.4024048,32.48608398,24.99500847,55.01276779,-1.208204865,28.59707069,20.21449852,-5.297147751,21.63552284,13.04044151,-7.340214252,9.413031578,5.224699974,85.35588074,61.20329285,17.42338562,23.90919304,22.73823166,14.27729607,8.11693573,16.16135025,11.44597816,8.558519363,12.14015484,8.180373192,5.860185146,0.62010324,0.485206723,0.42035535,0.390094489,0.403977782,0.406135201,0.383821607,0.36564377,0.39411208,0.533276618,0.789968073,0.782299399,0.193781072,0.036661737,3209.967042
36,Aster_gotomate_1353,4.1,3.1,4.35,1353,gotomate,M,1.5,-302.782074,92.27815247,6.515939713,24.72179413,17.66286659,19.10665512,8.518478394,1.95326376,-1.209529877,9.278637886,4.397701263,5.79485321,1.054897547,99.12850952,62.21534348,31.21362686,24.61303139,14.72703743,10.23307514,9.761393547,10.01924229,14.10850906,13.63519001,8.983496666,8.321520805,7.809235573,0.509235203,0.505534887,0.509843111,0.542318344,0.537487268,0.590708971,0.643829286,0.633812845,0.535301805,0.466739327,0.511560321,0.511061549,0.107143826,0.03009475,2315.865968
37,Aster_greethuman_1824,1.45,2.2,0.85,1824,greethuman,M,1.5,-500.1799011,44.67046356,34.72797012,57.76881027,-9.500622749,16.68487167,15.92584038,-4.610053539,10.58247852,8.581542015,-3.148697376,1.589119554,5.655616283,130.2472687,98.89029694,22.43353653,35.24620056,31.01306725,13.30496979,15.8883791,7.49209547,9.335795403,8.261769295,8.441555023,8.690335274,6.222176075,0.619316816,0.447696477,0.374936908,0.350263149,0.356730402,0.344710857,0.396780074,0.605405629,0.628820181,0.475794226,0.400704056,0.488107949,0.171493253,0.023114566,2684.397174
38,Aster_happilytalkingtomate_1318,4.55,2.3,5,1318,happyconversation,M,1.5,-340.0513611,23.82560921,1.986124635,44.03359985,-0.335150123,7.252077103,-4.819208622,-9.34023571,4.249992371,6.916078568,-11.14782715,-5.600273609,1.857617855,104.5649948,95.80469513,27.31618118,30.56088638,18.66752625,12.01586533,13.47391701,9.022649765,9.727240562,16.33870697,13.0133934,10.70985699,10.14286709,0.440868288,0.451313645,0.329332381,0.231212616,0.193384022,0.322861403,0.438851565,0.451882631,0.413502961,0.379467368,0.592779756,0.440388203,0.224760168,0.035807371,3339.249962
39,Aster_landing_0906,0.75,1,0.65,906,land,M,1.5,-328.6358032,16.46839523,20.31295776,46.38391876,1.25833559,20.25732231,7.249545574,2.548415184,9.374648094,4.269807339,1.794557452,3.837300777,1.203961134,52.6585083,46.32788849,11.79154205,16.65745735,13.74208069,5.508309364,7.271914482,6.848489761,6.803713322,8.077255249,5.547436714,6.990726948,6.650907516,0.424336255,0.519867957,0.811482668,0.73243922,0.526673734,0.500091791,0.513844252,0.574827313,0.527369678,0.486286551,0.440238565,0.406127065,0.255149148,0.023778714,4121.694677
40,Aster_landingcomingtohuman_1858,0.85,2.1,0.2,1858,approachhuman,M,1.5,-446.5641174,84.62387848,15.18292236,36.03071976,3.933411598,9.354129791,11.38679028,9.236724854,15.33131123,11.19685268,-1.863070488,8.850194931,-0.452909082,105.7555695,54.36478043,18.27461243,19.82384109,12.40949249,10.40100002,14.64783287,10.68466759,16.08742523,10.55854702,10.73124504,10.48700428,10.48569679,0.460217208,0.511921406,0.497738391,0.47030887,0.375934124,0.321207494,0.367012084,0.566007316,0.67445004,0.514161527,0.479140043,0.516853988,0.10487276,0.017550481,2244.007162
41,Aster_landinggotofizzy_1322,3.95,2.2,4.35,1322,gotomate,M,1.5,-437.1512756,41.79529572,8.075180054,44.63523102,1.748482347,9.332490921,7.931918621,5.25328207,8.196029663,11.23750687,-3.216310263,2.275423288,-0.805602551,122.1932678,76.38634491,28.4355793,27.91375732,19.88796997,9.00110817,12.17417431,4.609826088,6.470190525,9.039213181,11.53734779,8.75225544,9.139103889,0.239248976,0.265127122,0.337815344,0.383261174,0.458456963,0.435241789,0.359768778,0.48102662,0.483673453,0.414198786,0.654556513,0.460563153,0.173029719,0.027816618,2685.377507
42,Aster_landingsaystohimself_1355,0.75,1,0.65,1355,selftalk,M,1.5,-377.9497986,27.59638786,8.572702408,57.09349442,-3.805641174,14.30646324,13.08602619,3.684566259,10.94271088,8.461862564,-12.94805908,5.07946682,15.48771667,119.3143539,70.46967316,10.71897888,27.88809013,20.88220215,10.2353735,5.95305109,8.711691856,10.72196865,6.954484463,13.75877285,9.901409149,7.07070303,0.344811738,0.301857919,0.285069734,0.284701169,0.29210341,0.283011228,0.29321593,0.322854012,0.549303055,0.841004312,0.610515058,0.398530602,0.195578835,0.043489847,3149.925792
43,Aster_lookingattheothersfight_1332,0.55,1,0.75,1332,observeconflict,M,1.5,-313.2498169,17.43105316,1.48908627,59.94704819,0.537555695,21.53834343,9.073874474,-1.316252232,18.86989021,9.218449593,-15.73085976,-0.685099244,5.734716415,82.63877106,80.86595917,13.44675255,31.99557686,15.95689774,13.85647774,8.836496353,12.27891064,12.0992527,13.25462818,12.33364105,6.558701992,9.490650177,0.71281296,0.436280251,0.413450211,0.374120563,0.309577197,0.24899289,0.350385457,0.360379964,0.285782814,0.346226186,0.420399636,0.729997635,0.225764348,0.035663478,3431.611979
44,Aster_nearlyfalling_1900,-1.05,4.8,-1.95,1900,startle,M,1.5,-412.9977112,48.71463776,7.461758614,41.28200912,10.52529716,28.20753288,12.58058548,13.03835869,5.850899696,11.5724411,13.13359356,-10.18514156,1.762416482,119.1591644,90.53801727,22.59860802,32.62959671,23.64959908,16.35886765,10.69767857,15.80258656,23.08379364,11.34867001,15.83641052,20.51566505,10.48500824,0.338318527,0.404185832,0.561134219,0.423280448,0.452355087,0.605704367,0.604464114,0.50920862,0.495699942,0.37245068,0.331779271,0.332472771,0.191520394,0.031006141,2797.525727
45,Aster_observeneighbor_1533,1.75,1,2.05,1533,observe,M,1.5,-451.9521179,-14.24139881,3.878390312,41.20700836,-2.886627197,0.408814788,6.200716496,14.16294479,11.14168358,-1.901159763,-2.794829845,8.112588882,-1.231834054,172.0818634,100.6486664,20.59925652,45.9576149,15.84946823,6.936428547,9.071270943,9.488677979,8.712263107,10.96378613,14.27261543,9.406869888,7.071656704,0.56003207,0.473041356,0.457354009,0.516676426,0.406445116,0.511985242,0.38501209,0.262602895,0.260949939,0.299237609,0.445044369,0.615501523,0.311745384,0.041942548,4499.73455
